Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps
2022-01-18 00:47:10-07:00,2022-01-18 08:29:40-07:00,7.708333333333333,91.08840000000001,2022-01-18,,,,,23456.0
2022-01-19 02:10:23-07:00,2022-01-19 08:28:23-07:00,6.3,34.5764,2022-01-19,,,,,19938.0
2022-01-20 01:44:31-07:00,2022-01-20 07:33:01-07:00,5.808333333333334,76.8412,2022-01-20,,,,,11326.0
2022-01-21 00:06:38-07:00,2022-01-21 09:06:38-07:00,9.0,32.7223,2022-01-21,,,,,23946.0
2022-01-22 01:36:36-07:00,2022-01-22 11:01:06-07:00,9.408333333333333,37.093050000000005,2022-01-22,,,,,1112.0
2022-01-23 01:26:36-07:00,2022-01-23 09:18:36-07:00,7.866666666666666,31.203200000000002,2022-01-23,,,,,1554.0
2022-01-24 00:53:03-07:00,2022-01-24 08:26:33-07:00,7.558333333333334,45.6405,2022-01-24,,,,,14948.0
2022-01-25 01:13:08-07:00,2022-01-25 08:26:38-07:00,7.225,36.0991,2022-01-25,,,,,21376.0
2022-01-26 00:23:29-07:00,2022-01-26 08:33:29-07:00,8.166666666666666,46.922200000000004,2022-01-26,,,,,27985.0
2022-01-27 02:03:22-07:00,2022-01-27 08:25:22-07:00,6.366666666666666,62.667,2022-01-27,,,,,13780.0
2022-01-28 01:27:29-07:00,2022-01-28 08:17:29-07:00,6.833333333333333,54.7481,2022-01-28,,,,,20617.0
2022-01-29 00:55:59-07:00,2022-01-29 07:11:29-07:00,6.258333333333334,68.4602,2022-01-29,,,,,21446.0
2022-01-30 00:33:33-07:00,2022-01-30 09:40:03-07:00,9.108333333333333,34.6339,2022-01-30,,,,,776.0
2022-01-31 00:51:18-07:00,2022-01-31 08:24:18-07:00,7.55,31.2353,2022-01-31,,,,,20384.0
2022-02-01 01:44:21-07:00,2022-02-01 08:16:51-07:00,6.541666666666667,66.1825,2022-02-01,,,,,20398.0
,,,,2022-02-02,,,,,6917.0
2022-02-03 01:06:03-07:00,2022-02-03 08:22:33-07:00,7.275,34.8137,2022-02-03,,,,,17206.0
2022-02-04 00:58:18-07:00,2022-02-04 08:09:18-07:00,7.183333333333334,56.365,2022-02-04,,,,,24248.0
2022-02-05 02:09:34-07:00,2022-02-05 08:08:34-07:00,5.983333333333333,38.3359,2022-02-05,,,,,13415.0
2022-02-06 02:24:06-07:00,2022-02-06 09:37:06-07:00,7.216666666666667,80.1519,2022-02-06,,,,,9610.0
2022-02-07 01:43:22-07:00,2022-02-07 08:22:22-07:00,6.65,48.49405,2022-02-07,,,,,10134.0
2022-02-08 01:32:40-07:00,2022-02-08 08:19:40-07:00,6.783333333333333,36.411950000000004,2022-02-08,,,,,10465.0
2022-02-09 01:41:32-07:00,2022-02-09 08:19:32-07:00,6.633333333333334,31.53855,2022-02-09,,,,,8748.0
2022-02-10 01:06:14-07:00,2022-02-10 08:13:14-07:00,7.116666666666666,35.815200000000004,2022-02-10,,,,,16393.0
2022-02-11 02:18:49-07:00,2022-02-11 09:00:49-07:00,6.7,57.35294999999999,2022-02-11,,,,,12498.0
2022-02-12 02:58:33-07:00,2022-02-12 10:25:33-07:00,7.45,40.513,2022-02-12,,,,,19520.0
,,,,2022-02-13,,,,,11211.0
2022-02-14 01:19:33-07:00,2022-02-14 08:14:33-07:00,6.916666666666667,56.7392,2022-02-14,,,,,19175.0
2022-02-15 01:22:29-07:00,2022-02-15 08:29:59-07:00,7.125,97.64954999999999,2022-02-15,,,,,19265.0
2022-02-16 01:41:19-07:00,2022-02-16 08:24:19-07:00,6.716666666666667,50.4294,2022-02-16,,,,,22928.0
2022-02-17 01:57:54-07:00,2022-02-17 08:31:24-07:00,6.558333333333334,56.5674,2022-02-17,,,,,23394.0
,,,,2022-02-18,,,,,19688.0
2022-02-19 02:18:17-07:00,2022-02-19 10:57:47-07:00,8.658333333333333,52.3801,2022-02-19,,,,,30575.0
2022-02-20 05:25:51-07:00,2022-02-20 12:17:51-07:00,6.866666666666666,66.6773,2022-02-20,,,,,1877.0
2022-02-21 04:05:55-07:00,2022-02-21 11:32:55-07:00,7.45,54.6786,2022-02-21,,,,,14812.0
2022-02-22 01:44:19-07:00,2022-02-22 08:23:49-07:00,6.658333333333333,53.442350000000005,2022-02-22,,,,,24783.0
2022-02-23 01:52:59-07:00,2022-02-23 07:53:59-07:00,6.016666666666667,37.191050000000004,2022-02-23,,,,,22031.0
2022-02-24 01:51:20-07:00,2022-02-24 08:14:50-07:00,6.391666666666667,51.3031,2022-02-24,,,,,5697.0
2022-02-25 01:13:17-07:00,2022-02-25 08:23:17-07:00,7.166666666666667,,2022-02-25,,,,,21148.0
2022-02-25 23:31:25-07:00,2022-02-26 06:58:25-07:00,7.45,49.8174,2022-02-26,,,,,22663.0
,,,,2022-02-27,,,,,280.0
2022-02-28 01:33:09-07:00,2022-02-28 08:23:39-07:00,6.841666666666667,49.9323,2022-02-28,,,,,17079.0
2022-03-01 02:23:23-07:00,2022-03-01 11:02:53-07:00,8.658333333333333,49.29185,2022-03-01,,,,,23004.0
2022-03-02 02:07:39-07:00,2022-03-02 08:13:39-07:00,6.1,57.4427,2022-03-02,,,,,14483.0
2022-03-03 01:08:46-07:00,2022-03-03 08:25:46-07:00,7.283333333333333,50.58725,2022-03-03,,,,,19794.0
2022-03-04 00:24:16-07:00,2022-03-04 07:54:16-07:00,7.5,45.137249999999995,2022-03-04,,,,,20718.0
2022-03-05 02:53:35-07:00,2022-03-05 09:03:35-07:00,6.166666666666667,74.9159,2022-03-05,,,,,6765.0
2022-03-06 02:10:56-07:00,2022-03-06 10:47:56-07:00,8.616666666666667,61.45765,2022-03-06,,,,,6892.0
2022-03-07 01:42:14-07:00,2022-03-07 07:47:14-07:00,6.083333333333333,176.641,2022-03-07,,,,,21763.0
2022-03-08 02:27:10-07:00,2022-03-08 10:35:10-07:00,8.133333333333333,44.644999999999996,2022-03-08,,,,,22796.0
2022-03-09 01:00:48-07:00,2022-03-09 07:54:48-07:00,6.9,66.25750000000001,2022-03-09,,,,,15118.0
2022-03-10 00:46:05-07:00,2022-03-10 06:16:35-07:00,5.508333333333334,39.88735,2022-03-10,,,,,22199.0
,,,,2022-03-11,,,,,19263.0
