Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps,Total Standing Hours,Total Basal Energy Burned (kcal),Total Active Energy Burned (kcal),Total Exercise Minutes
2021-12-21 02:03:22-07:00,2021-12-21 09:13:52-07:00,7.175,47.1391,2021-12-21,,,,,11754.0,15.0,1536.9109999999987,359.3790000000006,19.0
2021-12-22 03:17:55-07:00,2021-12-22 09:22:25-07:00,6.075,30.7379,2021-12-22,,,,,12576.0,15.0,1568.244999999996,307.0370000000006,11.0
2021-12-23 02:43:40-07:00,2021-12-23 11:14:40-07:00,8.516666666666667,44.181000000000004,2021-12-23,,,,,1721.0,1.0,1542.9329999999995,12.884999999999994,
,,,,2021-12-24,,,,,14056.0,8.0,1500.6769999999995,235.12899999999988,10.0
2021-12-25 03:58:20-07:00,2021-12-25 11:44:50-07:00,7.775,78.7473,2021-12-25,,,,,13404.0,7.0,1551.7399999999989,262.20799999999997,17.0
,,,,2021-12-26,,,,,331.0,,1513.5639999999999,0.034,
2021-12-27 03:02:31-07:00,2021-12-27 11:52:31-07:00,8.833333333333334,31.79843333333333,2021-12-27,,,,,1293.0,2.0,1515.7879999999998,32.797999999999995,
,,,,2021-12-28,,,,,446.0,,1512.5029999999997,0.08499999999999999,
,,,,2021-12-29,,,,,833.0,1.0,1516.5209999999995,20.067,
,,,,2021-12-30,,,,,830.0,1.0,1496.0439999999999,27.314999999999998,
,,,,2021-12-31,,,,,816.0,2.0,1534.665,39.241,3.0
,,,,2022-01-01,,,,,13124.0,7.0,1509.8939999999975,250.68200000000004,22.0
,,,,2022-01-02,,,,,2093.0,4.0,1539.6089999999995,67.87899999999998,1.0
,,,,2022-01-03,,,,,13314.0,12.0,1557.0079999999946,349.6010000000008,20.0
2022-01-04 01:03:49-07:00,2022-01-04 08:17:49-07:00,7.233333333333333,47.5575,2022-01-04,,,,,19742.0,17.0,1580.7790000000098,616.5530000000011,63.0
,,,,2022-01-05,,,,,18265.0,16.0,1611.6309999999985,534.8660000000001,44.0
,,,,2022-01-06,,,,,12077.0,10.0,1530.897999999995,255.7449999999999,14.0
,,,,2022-01-07,,,,,13073.0,12.0,1562.256,324.7230000000001,13.0
2022-01-08 03:48:23-07:00,2022-01-08 12:24:53-07:00,8.608333333333333,38.66589999999999,2022-01-08,,,,,5799.0,7.0,1534.3829999999996,166.4289999999999,10.0
2022-01-09 03:22:14-07:00,2022-01-09 11:59:44-07:00,8.625,34.78195,2022-01-09,,,,,2070.0,6.0,1543.4700000000007,94.89500000000005,1.0
2022-01-09 23:29:45-07:00,2022-01-10 08:26:45-07:00,8.95,36.565349999999995,2022-01-10,,,,,11353.0,13.0,1569.5499999999977,339.1189999999997,15.0
2022-01-11 01:28:24-07:00,2022-01-11 08:27:24-07:00,6.983333333333333,57.30445,2022-01-11,,,,,20442.0,12.0,1559.1220000000035,670.9150000000002,107.0
2022-01-12 01:36:53-07:00,2022-01-12 08:22:23-07:00,6.758333333333334,42.3763,2022-01-12,,,,,9711.0,6.0,1567.020999999999,261.38300000000015,30.0
2022-01-13 00:47:12-07:00,2022-01-13 08:15:12-07:00,7.466666666666667,35.85,2022-01-13,,,,,14306.0,11.0,1595.819999999998,316.2799999999998,15.0
2022-01-14 01:44:27-07:00,2022-01-14 08:19:27-07:00,6.583333333333333,51.3842,2022-01-14,,,,,18928.0,13.0,1540.368999999998,410.3399999999999,26.0
2022-01-15 03:57:34-07:00,2022-01-15 11:27:04-07:00,7.491666666666666,81.5318,2022-01-15,,,,,11615.0,9.0,1575.9219999999982,259.01499999999993,26.0
2022-01-16 04:01:40-07:00,2022-01-16 12:46:10-07:00,8.741666666666667,44.38026666666667,2022-01-16,,,,,3335.0,6.0,1489.3799999999994,228.14600000000004,29.0
2022-01-17 04:43:33-07:00,2022-01-17 13:02:03-07:00,8.308333333333334,40.3218,2022-01-17,,,,,1060.0,1.0,1509.7949999999994,24.57899999999999,
2022-01-18 00:47:10-07:00,2022-01-18 08:29:40-07:00,7.708333333333333,91.08840000000001,2022-01-18,,,,,23456.0,15.0,1603.383000000014,698.0679999999991,97.0
2022-01-19 02:10:23-07:00,2022-01-19 08:28:23-07:00,6.3,34.5764,2022-01-19,,,,,19938.0,14.0,1553.1810000000016,804.6000000000004,104.0
2022-01-20 01:44:31-07:00,2022-01-20 07:33:01-07:00,5.808333333333334,76.8412,2022-01-20,,,,,11326.0,11.0,1558.4919999999963,251.18700000000004,13.0
2022-01-21 00:06:38-07:00,2022-01-21 09:06:38-07:00,9.0,32.7223,2022-01-21,,,,,23946.0,14.0,1574.4409999999993,557.2680000000018,25.0
